codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,max_municipios_emergencia,pico_pessoas_afetadas_mil,min_cota_rio_negro_m,meses_em_crise
1302405,Lábrea,AM,13.0,130240,LABREA,50040.0,625198.0,9.1125,4602.0,3216529.36,361.0,12493.96482813749,919.664268585132,62.0,633.0,12.7,5
1302504,Manacapuru,AM,13.0,130250,MANACAPURU,113042.0,1544675.0,9.1125,25206.0,21281409.28,1009.0,13664.611383379628,2229.790697262964,62.0,633.0,12.7,5
1302553,Manaquiri,AM,13.0,130255,MANAQUIRI,15902.0,311335.0,9.1125,3466.0,2768231.54,135.0,19578.35492390894,2179.6000503081373,62.0,633.0,12.7,5
1302603,Manaus,AM,13.0,130260,MANAUS,2327101.0,103281400.0,9.1125,417780.0,662082246.66,24401.0,44382.001468780254,1795.2809095952432,62.0,633.0,12.7,5
1302702,Manicoré,AM,13.0,130270,MANICORE,58557.0,686279.0,9.1125,8226.0,5492048.88,378.0,11719.845620506516,1404.7850812029303,62.0,633.0,12.7,5
1302801,Maraã,AM,13.0,130280,MARAA,15716.0,176217.0,9.1125,2560.0,1345331.12,85.0,11212.58589972003,1628.913209468058,62.0,633.0,12.7,5
1302900,Maués,AM,13.0,130290,MAUES,67021.0,595826.0,9.1125,12640.0,9186692.72,534.0,8890.138911684397,1885.976037361424,62.0,633.0,12.7,5
1303007,Nhamundá,AM,13.0,130300,NHAMUNDA,21394.0,207005.0,9.1125,3662.0,2376715.62,152.0,9675.843694493784,1711.6948677199214,62.0,633.0,12.7,5
1303106,Nova Olinda do Norte,AM,13.0,130310,NOVA OLINDA DO NORTE,27965.0,341652.0,9.1125,5120.0,3994843.58,224.0,12217.12855354908,1830.8600035758984,62.0,633.0,12.7,5
1303205,Novo Airão,AM,13.0,130320,NOVO AIRAO,16648.0,186533.0,9.1125,4486.0,3136102.16,169.0,11204.529072561269,2694.6179721287845,62.0,633.0,12.7,5
1303304,Novo Aripuanã,AM,13.0,130330,NOVO ARIPUANA,25506.0,252422.0,9.1125,6158.0,4296867.92,194.0,9896.573355288952,2414.3338822237906,62.0,633.0,12.7,5
1303403,Parintins,AM,13.0,130340,PARINTINS,101754.0,1426972.0,9.1125,30690.0,17608436.64,915.0,14023.74353833756,3016.097647266938,62.0,633.0,12.7,5
1303502,Pauini,AM,13.0,130350,PAUINI,20330.0,199541.0,9.1125,3900.0,1744760.98,144.0,9815.100836202657,1918.3472700442692,62.0,633.0,12.7,5
1303536,Presidente Figueiredo,AM,13.0,130353,PRESIDENTE FIGUEIREDO,33580.0,1031905.0,9.1125,4774.0,5066094.7,286.0,30729.74985110185,1421.6795711733173,62.0,633.0,12.7,5
1303569,Rio Preto da Eva,AM,13.0,130356,RIO PRETO DA EVA,25342.0,407146.0,9.1125,3910.0,5123998.9,270.0,16066.056349143711,1542.8932207402731,62.0,633.0,12.7,5
1303601,Santa Isabel do Rio Negro,AM,13.0,130360,SANTA ISABEL DO RIO NEGRO,13724.0,185817.0,9.1125,2570.0,1544989.32,138.0,13539.565724278636,1872.6318857475956,62.0,633.0,12.7,5
1303700,Santo Antônio do Içá,AM,13.0,130370,SANTO ANTONIO DO ICA,30987.0,237314.0,9.1125,5192.0,2515542.9,182.0,7658.501952431665,1675.541356052538,62.0,633.0,12.7,5
1303809,São Gabriel da Cachoeira,AM,13.0,130380,SAO GABRIEL DA CACHOEIRA,58359.0,423055.0,9.1125,7146.0,4831620.46,653.0,7249.181788584451,1224.4897959183672,62.0,633.0,12.7,5
1303908,São Paulo de Olivença,AM,13.0,130390,SAO PAULO DE OLIVENCA,35619.0,334131.0,9.1125,7686.0,6163599.3,263.0,9380.69569611724,2157.8371094079,62.0,633.0,12.7,5
1303957,São Sebastião do Uatumã,AM,13.0,130395,SAO SEBASTIAO DO UATUMA,12415.0,136609.0,9.1125,2932.0,1801934.7,57.0,11003.544099879178,2361.6592831252515,62.0,633.0,12.7,5
1304005,Silves,AM,13.0,130400,SILVES,12827.0,175042.0,9.1125,3404.0,1973796.58,76.0,13646.37093630623,2653.7771887424965,62.0,633.0,12.7,5
1304062,Tabatinga,AM,13.0,130406,TABATINGA,74384.0,758035.0,9.1125,3912.0,4373177.38,674.0,10190.834050333406,525.9195525919553,62.0,633.0,12.7,5
1304104,Tapauá,AM,13.0,130410,TAPAUA,20849.0,239944.0,9.1125,2702.0,2037575.3,147.0,11508.657489567844,1295.9854189649384,62.0,633.0,12.7,5
1304203,Tefé,AM,13.0,130420,TEFE,81046.0,1098392.0,9.1125,21362.0,15116830.62,663.0,13552.698467536957,2635.7870838782915,62.0,633.0,12.7,5
1304237,Tonantins,AM,13.0,130423,TONANTINS,20417.0,185410.0,9.1125,4812.0,2383568.72,103.0,9081.157858647206,2356.859479845227,62.0,633.0,12.7,5
1304260,Uarini,AM,13.0,130426,UARINI,15815.0,229209.0,9.1125,3256.0,1887698.58,77.0,14493.139424596902,2058.804932026557,62.0,633.0,12.7,5
1304302,Urucará,AM,13.0,130430,URUCARA,19738.0,205656.0,9.1125,3434.0,2577632.4,138.0,10419.292734826224,1739.791265579086,62.0,633.0,12.7,5
1304401,Urucurituba,AM,13.0,130440,URUCURITUBA,26373.0,232661.0,9.1125,1998.0,1437715.22,144.0,8821.939104387062,757.5929928335797,62.0,633.0,12.7,5
