codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,temp_max_cuiaba_c,temp_max_brasil_c,umidade_minima_pct,max_dias_consecutivos_40c,max_focos_calor_mt,meses_em_crise
5213509,Monte Alegre de Goiás,GO,52.0,521350,MONTE ALEGRE DE GOIAS,,,5.75,726.0,784554.64,40.0,,,42.6,42.6,10.0,7.0,2124.0,2
5213707,Montes Claros de Goiás,GO,52.0,521370,MONTES CLAROS DE GOIAS,,,5.75,796.0,1408566.8,69.0,,,42.6,42.6,10.0,7.0,2124.0,2
5213756,Montividiu,GO,52.0,521375,MONTIVIDIU,,,5.75,1942.0,2087585.66,79.0,,,42.6,42.6,10.0,7.0,2124.0,2
5213772,Montividiu do Norte,GO,52.0,521377,MONTIVIDIU DO NORTE,,,5.75,444.0,697173.48,30.0,,,42.6,42.6,10.0,7.0,2124.0,2
5213806,Morrinhos,GO,52.0,521380,MORRINHOS,,,5.75,7442.0,9776134.1,396.0,,,42.6,42.6,10.0,7.0,2124.0,2
5213855,Morro Agudo de Goiás,GO,52.0,521385,MORRO AGUDO DE GOIAS,,,5.75,704.0,882041.02,25.0,,,42.6,42.6,10.0,7.0,2124.0,2
5213905,Mossâmedes,GO,52.0,521390,MOSSAMEDES,,,5.75,644.0,861821.26,40.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214002,Mozarlândia,GO,52.0,521400,MOZARLANDIA,,,5.75,3056.0,3447384.04,101.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214051,Mundo Novo,GO,52.0,521405,MUNDO NOVO,,,5.75,2490.0,1414019.68,47.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214101,Mutunópolis,GO,52.0,521410,MUTUNOPOLIS,,,5.75,954.0,691807.16,35.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214408,Nazário,GO,52.0,521440,NAZARIO,,,5.75,856.0,1621747.22,73.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214507,Nerópolis,GO,52.0,521450,NEROPOLIS,,,5.75,5400.0,9144829.8,251.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214606,Niquelândia,GO,52.0,521460,NIQUELANDIA,,,5.75,6282.0,6633698.0,266.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214705,Nova América,GO,52.0,521470,NOVA AMERICA,,,5.75,292.0,365738.28,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214804,Nova Aurora,GO,52.0,521480,NOVA AURORA,,,5.75,246.0,466996.44,22.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214838,Nova Crixás,GO,52.0,521483,NOVA CRIXAS,,,5.75,2004.0,2024934.34,92.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214861,Nova Glória,GO,52.0,521486,NOVA GLORIA,,,5.75,1344.0,1812168.74,90.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214879,Nova Iguaçu de Goiás,GO,52.0,521487,NOVA IGUACU DE GOIAS,,,5.75,438.0,532753.66,20.0,,,42.6,42.6,10.0,7.0,2124.0,2
5214903,Nova Roma,GO,52.0,521490,NOVA ROMA,,,5.75,256.0,330335.96,18.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215009,Nova Veneza,GO,52.0,521500,NOVA VENEZA,,,5.75,1150.0,2546811.0,83.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215207,Novo Brasil,GO,52.0,521520,NOVO BRASIL,,,5.75,584.0,633334.82,30.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215231,Novo Gama,GO,52.0,521523,NOVO GAMA,,,5.75,14318.0,19428728.88,511.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215256,Novo Planalto,GO,52.0,521525,NOVO PLANALTO,,,5.75,554.0,638392.7,39.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215306,Orizona,GO,52.0,521530,ORIZONA,,,5.75,2222.0,2859505.42,123.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215405,Ouro Verde de Goiás,GO,52.0,521540,OURO VERDE DE GOIAS,,,5.75,552.0,1060834.32,30.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215504,Ouvidor,GO,52.0,521550,OUVIDOR,,,5.75,846.0,1703943.98,77.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215603,Padre Bernardo,GO,52.0,521560,PADRE BERNARDO,,,5.75,3960.0,4160159.18,203.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215652,Palestina de Goiás,GO,52.0,521565,PALESTINA DE GOIAS,,,5.75,464.0,725860.52,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215702,Palmeiras de Goiás,GO,52.0,521570,PALMEIRAS DE GOIAS,,,5.75,2862.0,4546661.2,201.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215801,Palmelo,GO,52.0,521580,PALMELO,,,5.75,578.0,743939.54,35.0,,,42.6,42.6,10.0,7.0,2124.0,2
5215900,Palminópolis,GO,52.0,521590,PALMINOPOLIS,,,5.75,562.0,571082.12,35.0,,,42.6,42.6,10.0,7.0,2124.0,2
5216007,Panamá,GO,52.0,521600,PANAMA,,,5.75,468.0,801510.38,16.0,,,42.6,42.6,10.0,7.0,2124.0,2
5216304,Paranaiguara,GO,52.0,521630,PARANAIGUARA,,,5.75,2096.0,1622882.62,88.0,,,42.6,42.6,10.0,7.0,2124.0,2
5216403,Paraúna,GO,52.0,521640,PARAUNA,,,5.75,1838.0,2078051.18,101.0,,,42.6,42.6,10.0,7.0,2124.0,2
5216452,Perolândia,GO,52.0,521645,PEROLANDIA,,,5.75,234.0,698280.64,31.0,,,42.6,42.6,10.0,7.0,2124.0,2
5216809,Petrolina de Goiás,GO,52.0,521680,PETROLINA DE GOIAS,,,5.75,1820.0,2710040.34,81.0,,,42.6,42.6,10.0,7.0,2124.0,2
5216908,Pilar de Goiás,GO,52.0,521690,PILAR DE GOIAS,,,5.75,370.0,634835.2,23.0,,,42.6,42.6,10.0,7.0,2124.0,2
5217104,Piracanjuba,GO,52.0,521710,PIRACANJUBA,,,5.75,4678.0,6434261.72,222.0,,,42.6,42.6,10.0,7.0,2124.0,2
5217203,Piranhas,GO,52.0,521720,PIRANHAS,,,5.75,1898.0,1797979.0,102.0,,,42.6,42.6,10.0,7.0,2124.0,2
5217302,Pirenópolis,GO,52.0,521730,PIRENOPOLIS,,,5.75,5840.0,5984412.9,206.0,,,42.6,42.6,10.0,7.0,2124.0,2
5217401,Pires do Rio,GO,52.0,521740,PIRES DO RIO,,,5.75,4880.0,6240199.66,253.0,,,42.6,42.6,10.0,7.0,2124.0,2
5217609,Planaltina,GO,52.0,521760,PLANALTINA,,,5.75,14226.0,14846143.1,538.0,,,42.6,42.6,10.0,7.0,2124.0,2
5217708,Pontalina,GO,52.0,521770,PONTALINA,,,5.75,3372.0,4391446.54,178.0,,,42.6,42.6,10.0,7.0,2124.0,2
