data_ref,temp_max_cuiaba_c,temp_max_brasil_c,umidade_minima_pct,dias_consecutivos_40c,focos_calor_mt
2024-08-15,41.0,41.0,,1.0,
2024-08-19,,,10.0,,
2024-08-21,41.4,41.4,,7.0,
2024-08-29,41.0,41.0,,,
2024-08-30,,,,,
2024-09-03,42.0,42.0,10.0,,
2024-09-07,42.6,42.6,,,
2024-09-10,,,,,2124.0
2024-09-11,,,,,742.0
2024-09-24,,,,,594.0
